t,n_trades,total_volume,n_open_products,total_orders,p0_trades,p0_volume,p0_orders,p1_trades,p1_volume,p1_orders,p2_trades,p2_volume,p2_orders
0,1,5.0,1,2,1,5.0,2,0,0,0,0,0,0
1,1,5.0,1,3,1,5.0,3,0,0,0,0,0,0
2,4,20.0,1,3,4,20.0,3,0,0,0,0,0,0
3,5,25.0,1,3,5,25.0,3,0,0,0,0,0,0
4,5,25.0,1,2,5,25.0,2,0,0,0,0,0,0
5,4,20.0,1,2,4,20.0,2,0,0,0,0,0,0
6,3,15.0,1,3,3,15.0,3,0,0,0,0,0,0
7,2,10.0,1,4,2,10.0,4,0,0,0,0,0,0
8,1,5.0,1,5,1,5.0,5,0,0,0,0,0,0
9,6,30.0,1,4,6,30.0,4,0,0,0,0,0,0
10,1,5.0,1,6,1,5.0,6,0,0,0,0,0,0
11,2,10.0,1,7,2,10.0,7,0,0,0,0,0,0
12,2,10.0,1,8,2,10.0,8,0,0,0,0,0,0
13,3,15.0,1,8,3,15.0,8,0,0,0,0,0,0
14,3,15.0,1,9,3,15.0,9,0,0,0,0,0,0
15,1,5.0,1,10,1,5.0,10,0,0,0,0,0,0
16,4,20.0,1,10,4,20.0,10,0,0,0,0,0,0
17,1,5.0,1,12,1,5.0,12,0,0,0,0,0,0
18,5,25.0,1,11,5,25.0,11,0,0,0,0,0,0
19,3,15.0,1,12,3,15.0,12,0,0,0,0,0,0
20,2,10.0,1,13,2,10.0,13,0,0,0,0,0,0
21,4,20.0,1,13,4,20.0,13,0,0,0,0,0,0
22,3,15.0,1,13,3,15.0,13,0,0,0,0,0,0
23,2,10.0,1,14,2,10.0,14,0,0,0,0,0,0
24,1,5.0,1,16,1,5.0,16,0,0,0,0,0,0
25,4,20.0,1,16,4,20.0,16,0,0,0,0,0,0
26,3,15.0,1,16,3,15.0,16,0,0,0,0,0,0
27,0,0.0,1,18,0,0,18,0,0,0,0,0,0
28,4,20.0,1,18,4,20.0,18,0,0,0,0,0,0
29,3,15.0,1,19,3,15.0,19,0,0,0,0,0,0
30,1,5.0,1,20,1,5.0,20,0,0,0,0,0,0
31,4,20.0,1,20,4,20.0,20,0,0,0,0,0,0
32,2,10.0,1,21,2,10.0,21,0,0,0,0,0,0
33,3,15.0,1,22,3,15.0,22,0,0,0,0,0,0
34,3,15.0,1,22,3,15.0,22,0,0,0,0,0,0
35,1,5.0,1,24,1,5.0,24,0,0,0,0,0,0
36,4,20.0,1,24,4,20.0,24,0,0,0,0,0,0
37,3,15.0,1,24,3,15.0,24,0,0,0,0,0,0
38,3,15.0,1,25,3,15.0,25,0,0,0,0,0,0
39,4,20.0,1,25,4,20.0,25,0,0,0,0,0,0
40,2,10.0,1,26,2,10.0,26,0,0,0,0,0,0
41,2,10.0,1,27,2,10.0,27,0,0,0,0,0,0
42,4,20.0,1,27,4,20.0,27,0,0,0,0,0,0
43,2,10.0,1,28,2,10.0,28,0,0,0,0,0,0
44,3,15.0,1,28,3,15.0,28,0,0,0,0,0,0
45,6,30.0,1,27,6,30.0,27,0,0,0,0,0,0
46,3,15.0,1,28,3,15.0,28,0,0,0,0,0,0
47,3,15.0,1,28,3,15.0,28,0,0,0,0,0,0
48,2,10.0,1,29,2,10.0,29,0,0,0,0,0,0
49,4,20.0,1,29,4,20.0,29,0,0,0,0,0,0
50,3,15.0,1,30,3,15.0,30,0,0,0,0,0,0
51,2,10.0,1,31,2,10.0,31,0,0,0,0,0,0
52,3,15.0,1,31,3,15.0,31,0,0,0,0,0,0
53,2,10.0,1,32,2,10.0,32,0,0,0,0,0,0
54,6,30.0,1,31,6,30.0,31,0,0,0,0,0,0
55,3,15.0,1,32,3,15.0,32,0,0,0,0,0,0
56,2,10.0,1,33,2,10.0,33,0,0,0,0,0,0
57,5,25.0,1,32,5,25.0,32,0,0,0,0,0,0
58,1,5.0,1,34,1,5.0,34,0,0,0,0,0,0
59,4,20.0,1,34,4,20.0,34,0,0,0,0,0,0
60,7,35.0,2,34,5,25.0,33,2,10.0,1,0,0,0
61,5,25.0,2,36,2,10.0,34,3,15.0,2,0,0,0
62,6,30.0,2,37,4,20.0,34,2,10.0,3,0,0,0
63,8,40.0,2,37,3,15.0,35,5,25.0,2,0,0,0
64,5,25.0,2,38,3,15.0,35,2,10.0,3,0,0,0
65,6,30.0,2,40,3,15.0,36,3,15.0,4,0,0,0
66,6,30.0,2,41,4,20.0,36,2,10.0,5,0,0,0
67,6,30.0,2,41,3,15.0,36,3,15.0,5,0,0,0
68,7,35.0,2,42,3,15.0,37,4,20.0,5,0,0,0
69,6,30.0,2,43,2,10.0,38,4,20.0,5,0,0,0
70,8,40.0,2,43,3,15.0,38,5,25.0,5,0,0,0
71,6,30.0,2,44,3,15.0,39,3,15.0,5,0,0,0
72,9,45.0,2,43,5,25.0,38,4,20.0,5,0,0,0
73,7,35.0,2,44,4,20.0,38,3,15.0,6,0,0,0
74,7,35.0,2,45,3,15.0,39,4,20.0,6,0,0,0
75,9,45.0,2,44,4,20.0,39,5,25.0,5,0,0,0
76,5,25.0,2,46,2,10.0,40,3,15.0,6,0,0,0
77,7,35.0,2,46,5,25.0,39,2,10.0,7,0,0,0
78,4,20.0,2,48,1,5.0,41,3,15.0,7,0,0,0
79,4,20.0,2,50,1,5.0,42,3,15.0,8,0,0,0
80,8,40.0,2,50,4,20.0,42,4,20.0,8,0,0,0
81,7,35.0,2,50,4,20.0,42,3,15.0,8,0,0,0
82,6,30.0,2,51,2,10.0,43,4,20.0,8,0,0,0
83,8,40.0,2,51,4,20.0,43,4,20.0,8,0,0,0
84,6,30.0,2,52,2,10.0,44,4,20.0,8,0,0,0
85,5,25.0,2,54,2,10.0,45,3,15.0,9,0,0,0
86,7,35.0,2,55,3,15.0,46,4,20.0,9,0,0,0
87,5,25.0,2,56,3,15.0,46,2,10.0,10,0,0,0
88,5,25.0,2,58,3,15.0,47,2,10.0,11,0,0,0
89,7,35.0,2,58,4,20.0,47,3,15.0,11,0,0,0
90,5,25.0,2,59,3,15.0,47,2,10.0,12,0,0,0
91,6,30.0,2,61,3,15.0,48,3,15.0,13,0,0,0
92,6,30.0,2,62,4,20.0,48,2,10.0,14,0,0,0
93,5,25.0,2,63,2,10.0,49,3,15.0,14,0,0,0
94,7,35.0,2,64,4,20.0,49,3,15.0,15,0,0,0
95,5,25.0,2,65,4,20.0,49,1,5.0,16,0,0,0
96,5,25.0,2,67,4,20.0,49,1,5.0,18,0,0,0
97,6,30.0,2,68,2,10.0,50,4,20.0,18,0,0,0
98,6,30.0,2,68,3,15.0,50,3,15.0,18,0,0,0
99,6,30.0,2,70,3,15.0,51,3,15.0,19,0,0,0
100,4,20.0,2,72,2,10.0,52,2,10.0,20,0,0,0
101,2,10.0,2,74,1,5.0,53,1,5.0,21,0,0,0
102,3,15.0,2,77,0,0,55,3,15.0,22,0,0,0
103,7,35.0,2,77,4,20.0,55,3,15.0,22,0,0,0
104,6,30.0,2,78,4,20.0,55,2,10.0,23,0,0,0
105,5,25.0,2,80,4,20.0,55,1,5.0,25,0,0,0
106,7,35.0,2,80,4,20.0,55,3,15.0,25,0,0,0
107,3,15.0,2,83,2,10.0,56,1,5.0,27,0,0,0
108,8,40.0,2,83,4,20.0,56,4,20.0,27,0,0,0
109,7,35.0,2,83,6,30.0,55,1,5.0,28,0,0,0
110,4,20.0,2,86,3,15.0,56,1,5.0,30,0,0,0
111,6,30.0,2,87,4,20.0,56,2,10.0,31,0,0,0
112,8,40.0,2,86,3,15.0,56,5,25.0,30,0,0,0
113,5,25.0,2,88,4,20.0,56,1,5.0,32,0,0,0
114,7,35.0,2,88,4,20.0,56,3,15.0,32,0,0,0
115,4,20.0,2,90,2,10.0,57,2,10.0,33,0,0,0
116,4,20.0,2,93,1,5.0,59,3,15.0,34,0,0,0
117,7,35.0,2,93,4,20.0,59,3,15.0,34,0,0,0
118,6,30.0,2,94,4,20.0,59,2,10.0,35,0,0,0
119,9,45.0,2,94,4,20.0,59,5,25.0,35,0,0,0
120,5,25.0,3,97,3,15.0,59,2,10.0,36,0,0,2
121,8,40.0,3,99,2,10.0,60,3,15.0,36,3,15.0,3
122,5,25.0,3,103,1,5.0,62,2,10.0,37,2,10.0,4
123,9,45.0,3,105,4,20.0,62,3,15.0,38,2,10.0,5
124,6,30.0,3,107,1,5.0,63,2,10.0,39,3,15.0,5
125,10,50.0,3,108,2,10.0,64,4,20.0,39,4,20.0,5
126,10,50.0,3,109,2,10.0,65,5,25.0,38,3,15.0,6
127,8,40.0,3,111,2,10.0,66,2,10.0,39,4,20.0,6
128,10,50.0,3,112,3,15.0,67,4,20.0,39,3,15.0,6
129,8,40.0,3,114,3,15.0,67,4,20.0,39,1,5.0,8
130,5,25.0,3,117,2,10.0,68,2,10.0,40,1,5.0,9
131,11,55.0,3,118,4,20.0,68,4,20.0,40,3,15.0,10
132,8,40.0,3,120,3,15.0,69,2,10.0,41,3,15.0,10
133,9,45.0,3,121,3,15.0,69,4,20.0,41,2,10.0,11
134,9,45.0,3,124,5,25.0,69,1,5.0,43,3,15.0,12
135,10,50.0,3,124,3,15.0,69,4,20.0,43,3,15.0,12
136,8,40.0,3,126,2,10.0,70,4,20.0,43,2,10.0,13
137,6,30.0,3,130,1,5.0,72,2,10.0,44,3,15.0,14
138,9,45.0,3,130,3,15.0,72,3,15.0,44,3,15.0,14
139,10,50.0,3,132,3,15.0,73,4,20.0,44,3,15.0,15
140,8,40.0,3,134,2,10.0,74,2,10.0,45,4,20.0,15
141,7,35.0,3,137,2,10.0,75,3,15.0,46,2,10.0,16
142,9,45.0,3,138,2,10.0,76,4,20.0,46,3,15.0,16
143,9,45.0,3,139,3,15.0,76,2,10.0,47,4,20.0,16
144,11,55.0,3,140,3,15.0,77,3,15.0,47,5,25.0,16
145,6,30.0,3,142,3,15.0,77,2,10.0,48,1,5.0,17
146,9,45.0,3,144,4,20.0,77,3,15.0,49,2,10.0,18
147,13,65.0,3,144,4,20.0,77,4,20.0,49,5,25.0,18
148,9,45.0,3,145,3,15.0,78,3,15.0,49,3,15.0,18
149,12,60.0,3,146,4,20.0,78,3,15.0,50,5,25.0,18
150,6,30.0,3,148,3,15.0,78,1,5.0,51,2,10.0,19
151,10,50.0,3,149,4,20.0,78,4,20.0,51,2,10.0,20
152,10,50.0,3,150,4,20.0,78,2,10.0,52,4,20.0,20
153,6,30.0,3,153,2,10.0,79,3,15.0,53,1,5.0,21
154,8,40.0,3,156,3,15.0,80,2,10.0,54,3,15.0,22
155,12,60.0,3,155,3,15.0,80,6,30.0,53,3,15.0,22
156,9,45.0,3,157,2,10.0,81,4,20.0,53,3,15.0,23
157,8,40.0,3,159,3,15.0,82,2,10.0,54,3,15.0,23
158,10,50.0,3,159,3,15.0,82,3,15.0,54,4,20.0,23
159,11,55.0,3,160,3,15.0,83,6,30.0,53,2,10.0,24
160,11,55.0,3,161,3,15.0,83,3,15.0,54,5,25.0,24
161,10,50.0,3,162,4,20.0,83,4,20.0,54,2,10.0,25
162,8,40.0,3,163,4,20.0,83,1,5.0,55,3,15.0,25
163,11,55.0,3,165,3,15.0,84,3,15.0,56,5,25.0,25
164,9,45.0,3,166,3,15.0,84,4,20.0,56,2,10.0,26
165,10,50.0,3,167,3,15.0,85,4,20.0,56,3,15.0,26
166,6,30.0,3,170,4,20.0,85,1,5.0,57,1,5.0,28
167,7,35.0,3,172,2,10.0,86,2,10.0,58,3,15.0,28
168,9,45.0,3,173,3,15.0,86,2,10.0,59,4,20.0,28
169,10,50.0,3,175,3,15.0,87,3,15.0,60,4,20.0,28
170,10,50.0,3,176,4,20.0,87,4,20.0,60,2,10.0,29
171,8,40.0,3,178,1,5.0,88,4,20.0,60,3,15.0,30
172,10,50.0,3,179,3,15.0,89,5,25.0,59,2,10.0,31
173,9,45.0,3,180,3,15.0,89,3,15.0,60,3,15.0,31
174,10,50.0,3,182,3,15.0,90,4,20.0,60,3,15.0,32
175,8,40.0,3,183,1,5.0,91,3,15.0,60,4,20.0,32
176,10,50.0,3,185,5,25.0,91,3,15.0,61,2,10.0,33
177,8,40.0,3,187,2,10.0,92,2,10.0,62,4,20.0,33
178,8,40.0,3,188,2,10.0,93,3,15.0,62,3,15.0,33
179,10,50.0,3,189,5,25.0,92,2,10.0,63,3,15.0,34
180,9,45.0,3,191,3,15.0,93,4,20.0,63,2,10.0,35
181,7,35.0,3,193,3,15.0,93,1,5.0,65,3,15.0,35
182,10,50.0,3,194,3,15.0,94,3,15.0,65,4,20.0,35
183,7,35.0,3,197,2,10.0,95,3,15.0,66,2,10.0,36
184,13,65.0,3,196,6,30.0,94,5,25.0,65,2,10.0,37
185,4,20.0,3,200,2,10.0,95,2,10.0,66,0,0,39
186,11,55.0,3,201,6,30.0,94,3,15.0,67,2,10.0,40
187,8,40.0,3,203,3,15.0,94,2,10.0,68,3,15.0,41
188,12,60.0,3,203,4,20.0,94,4,20.0,68,4,20.0,41
189,10,50.0,3,204,3,15.0,95,2,10.0,69,5,25.0,40
190,10,50.0,3,205,4,20.0,95,3,15.0,69,3,15.0,41
191,9,45.0,3,206,4,20.0,95,2,10.0,70,3,15.0,41
192,8,40.0,3,208,1,5.0,96,3,15.0,71,4,20.0,41
193,9,45.0,3,209,4,20.0,96,3,15.0,71,2,10.0,42
194,14,70.0,3,208,6,30.0,95,4,20.0,71,4,20.0,42
195,11,55.0,3,210,3,15.0,96,5,25.0,71,3,15.0,43
196,12,60.0,3,209,5,25.0,95,4,20.0,71,3,15.0,43
197,11,55.0,3,209,4,20.0,95,3,15.0,71,4,20.0,43
198,6,30.0,3,213,2,10.0,96,1,5.0,73,3,15.0,44
199,10,50.0,3,214,3,15.0,97,4,20.0,73,3,15.0,44
